"id","correct_name"
"2016/21/B/ST6/01539","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/B/ST7/02200","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/21/N/ST6/00553","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/22/E/ST7/00021","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST3/01430","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/B/ST7/00894","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2016/23/D/ST7/00481","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/B/ST6/02186","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/B/ST7/01792","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/25/N/ST6/02841","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/D/ST7/00355","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/M/ST1/00281","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2017/26/M/ST7/00128","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/E/ST7/00240","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2012/05/E/ST7/01143","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST6/00609","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
"2014/15/B/ST6/02808","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie"
